raw_value,assignment_count,file_count,overlap_file_count,canonical_value,suggested_facet,suggested_action,suggestion_reason,reviewed_action,reviewed_facet,review_notes
Adapted from Jeremy Taylor,2,2,2,Adapted from Jeremy Taylor,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from various sources,2,2,2,Adapted from various sources,source,move_to_source,non_scriptural_provenance_prefix,,,
After Gelasian Sacramentary,2,2,2,After Gelasian Sacramentary,source,move_to_source,non_scriptural_provenance_prefix,,,
After J. H. Newman,2,2,2,After J. H. Newman,source,move_to_source,non_scriptural_provenance_prefix,,,
After Lancelot Andrewes,2,2,2,After Lancelot Andrewes,source,move_to_source,non_scriptural_provenance_prefix,,,
After St. Augustine,2,2,2,After St. Augustine,source,move_to_source,non_scriptural_provenance_prefix,,,
Alcuin,2,2,2,Alcuin,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Ashton Oxenden,2,2,0,Ashton Oxenden,,keep,default_keep,,,
Barnabas,2,2,2,Barnabas,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Based on Book of Common Prayer,2,2,2,Based on Book of Common Prayer,source,move_to_source,non_scriptural_provenance_prefix,,,
Book of Prayers for Students,2,2,1,Book of Prayers for Students,,keep,default_keep,,,
Charles Kingsley,2,2,2,Charles Kingsley,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Christian von Bunsen,2,2,1,Christian von Bunsen,,keep,default_keep,,,
Convocation of York,2,2,2,Convocation of York,source,move_to_source,high_overlap_and_source_like,,,
Coptic Liturgy of St. Cyril,2,2,1,Coptic Liturgy of St. Cyril,,keep,default_keep,,,
Diocese of Southwark,2,2,1,Diocese of Southwark,,keep,default_keep,,,
Eugene Bersier,2,2,1,Eugene Bersier,,keep,default_keep,,,
