raw_value,assignment_count,file_count,overlap_file_count,canonical_value,suggested_facet,suggested_action,suggestion_reason,reviewed_action,reviewed_facet,review_notes
Richard D. Acland,5,5,5,Richard D. Acland,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Rites of Healing (Prayers for Use by a Sick Person),5,5,0,Rites of Healing (Prayers for Use by a Sick Person),,keep,default_keep,,,
Ruby E. Cleeve,5,5,5,Ruby E. Cleeve,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Second Sunday in Lent,5,5,0,Second Sunday in Lent,,keep,default_keep,,,
Seventeenth Sunday After Trinity,5,5,0,Seventeenth Sunday After Trinity,,keep,default_keep,,,
Sixteenth Sunday After Trinity,5,5,0,Sixteenth Sunday After Trinity,,keep,default_keep,,,
Sixth Sunday After Epiphany,5,5,0,Sixth Sunday After Epiphany,,keep,default_keep,,,
Sunday After Christmas,5,5,0,Sunday After Christmas,,keep,default_keep,,,
The Spirit of Service,5,5,0,The Spirit of Service,,keep,default_keep,,,
Third Sunday After Epiphany,5,5,0,Third Sunday After Epiphany,,keep,default_keep,,,
Third Sunday in Advent,5,5,0,Third Sunday in Advent,,keep,default_keep,,,
Third Sunday in Lent,5,5,0,Third Sunday in Lent,,keep,default_keep,,,
Thomas Ken,5,5,5,Thomas Ken,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Twentieth Sunday After Trinity,5,5,0,Twentieth Sunday After Trinity,,keep,default_keep,,,
Twenty-Second Sunday After Trinity,5,5,0,Twenty-Second Sunday After Trinity,,keep,default_keep,,,
Vesting Prayers,5,5,0,Vesting Prayers,,keep,default_keep,,,
W. Walsham How,5,5,2,W. Walsham How,,keep,default_keep,,,
"A Form of Prayer, May 1940",4,4,4,"A Form of Prayer, May 1940",attribution,move_to_attribution,high_tag_attribution_overlap,,,
A. McCheane,4,4,0,A. McCheane,,keep,default_keep,,,
Clement of Rome,4,4,4,Clement of Rome,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Country Services,4,4,3,Country Services,,keep,default_keep,,,
E. W. Benson,4,4,3,E. W. Benson,,keep,default_keep,,,
Ember Days,4,4,0,Ember Days,,keep,default_keep,,,
Fifth Sunday After Trinity,4,4,0,Fifth Sunday After Trinity,,keep,default_keep,,,
Fourth Sunday After Easter,4,4,0,Fourth Sunday After Easter,,keep,default_keep,,,
Guild of St. Raphael,4,4,4,Guild of St. Raphael,source,move_to_source,high_overlap_and_source_like,,,
J. Armitage Robinson,4,4,3,J. Armitage Robinson,,keep,default_keep,,,
John Donne,4,4,4,John Donne,attribution,move_to_attribution,high_tag_attribution_overlap,,,
John Wesley’s Prayers,4,4,2,John Wesley’s Prayers,,keep,default_keep,,,
Mothers’ Union,4,4,4,Mothers’ Union,attribution,move_to_attribution,high_tag_attribution_overlap,,,
National Days,4,4,0,National Days,,keep,default_keep,,,
Percy Dearmer,4,4,3,Percy Dearmer,,keep,default_keep,,,
Rogation Days,4,4,0,Rogation Days,,keep,default_keep,,,
Second Sunday After Trinity,4,4,0,Second Sunday After Trinity,,keep,default_keep,,,
Sixth Sunday After Trinity,4,4,0,Sixth Sunday After Trinity,,keep,default_keep,,,
The Christmas Crib,4,4,0,The Christmas Crib,,keep,default_keep,,,
The Eastern Church,4,4,0,The Eastern Church,,keep,default_keep,,,
Third Sunday After Easter,4,4,0,Third Sunday After Easter,,keep,default_keep,,,
Thirteenth Sunday After Trinity,4,4,0,Thirteenth Sunday After Trinity,,keep,default_keep,,,
Twelfth Sunday After Trinity,4,4,0,Twelfth Sunday After Trinity,,keep,default_keep,,,
Twenty-First Sunday After Trinity,4,4,0,Twenty-First Sunday After Trinity,,keep,default_keep,,,
Twenty-Fourth Sunday After Trinity,4,4,0,Twenty-Fourth Sunday After Trinity,,keep,default_keep,,,
Twenty-Third Sunday After Trinity,4,4,0,Twenty-Third Sunday After Trinity,,keep,default_keep,,,
William Laud,4,4,2,William Laud,,keep,default_keep,,,
"A Form of Prayer, August 1914",3,3,3,"A Form of Prayer, August 1914",attribution,move_to_attribution,high_tag_attribution_overlap,,,
"A Form of Prayer, August 1918",3,3,2,"A Form of Prayer, August 1918",,keep,default_keep,,,
After Jeremy Taylor,3,3,3,After Jeremy Taylor,source,move_to_source,non_scriptural_provenance_prefix,,,
"Anglican Altar Services, 1941",3,3,3,"Anglican Altar Services, 1941",attribution,move_to_attribution,high_tag_attribution_overlap,,,
Arthur W. Robinson,3,3,3,Arthur W. Robinson,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Basil,3,3,3,Basil,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Charles H. Brent,3,3,2,Charles H. Brent,,keep,default_keep,,,
E. M. Goulburn,3,3,3,E. M. Goulburn,attribution,move_to_attribution,high_tag_attribution_overlap,,,
E. Milner-White,3,3,3,E. Milner-White,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Erasmus,3,3,1,Erasmus,,keep,default_keep,,,
For the Blessing of a Civil Marriage,3,3,0,For the Blessing of a Civil Marriage,,keep,default_keep,,,
Gallican Sacramentary,3,3,2,Gallican Sacramentary,,keep,default_keep,,,
Gavin Hamilton,3,3,2,Gavin Hamilton,,keep,default_keep,,,
George H. Russell,3,3,1,George H. Russell,,keep,default_keep,,,
George Timms,3,3,3,George Timms,attribution,move_to_attribution,high_tag_attribution_overlap,,,
"German Reformed Church, U.S.A.",3,3,3,"German Reformed Church, U.S.A.",attribution,move_to_attribution,high_tag_attribution_overlap,,,
Handley C. G. Moule,3,3,1,Handley C. G. Moule,,keep,default_keep,,,
J. Mountain,3,3,0,J. Mountain,,keep,default_keep,,,
James Martineau,3,3,2,James Martineau,,keep,default_keep,,,
John Chrysostom,3,3,3,John Chrysostom,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Monday in Easter Week,3,3,0,Monday in Easter Week,,keep,default_keep,,,
Nerses of Clajes,3,3,3,Nerses of Clajes,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Old Gallican Sacramentary,3,3,0,Old Gallican Sacramentary,,keep,default_keep,,,
Ryan Willers,3,3,3,Ryan Willers,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Seventh Sunday After Trinity,3,3,0,Seventh Sunday After Trinity,,keep,default_keep,,,
Student Prayer,3,3,1,Student Prayer,,keep,default_keep,,,
The Clementine Liturgy,3,3,0,The Clementine Liturgy,,keep,default_keep,,,
The Daily Service,3,3,3,The Daily Service,attribution,move_to_attribution,high_tag_attribution_overlap,,,
The Nation (Specific to Canada),3,3,0,The Nation (Specific to Canada),,keep,default_keep,,,
The Nation (Specific to the United States or Mexico),3,3,0,The Nation (Specific to the United States or Mexico),,keep,default_keep,,,
Thomas Wilson,3,3,1,Thomas Wilson,,keep,default_keep,,,
Tuesday Before Easter,3,3,0,Tuesday Before Easter,,keep,default_keep,,,
Tuesday in Easter Week,3,3,0,Tuesday in Easter Week,,keep,default_keep,,,
W. H. Frere,3,3,2,W. H. Frere,,keep,default_keep,,,
Wednesday Before Easter,3,3,0,Wednesday Before Easter,,keep,default_keep,,,
A Book of Public Worship,2,2,2,A Book of Public Worship,source,move_to_source,high_overlap_and_source_like,,,
A Book of Services and Prayers,2,2,2,A Book of Services and Prayers,source,move_to_source,high_overlap_and_source_like,,,
A Devotional Diary,2,2,2,A Devotional Diary,attribution,move_to_attribution,high_tag_attribution_overlap,,,
A New Prayer Book,2,2,2,A New Prayer Book,source,move_to_source,high_overlap_and_source_like,,,
Adapted from Gelasian Sacramentary,2,2,2,Adapted from Gelasian Sacramentary,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from Irish Prayer Book,2,2,2,Adapted from Irish Prayer Book,source,move_to_source,non_scriptural_provenance_prefix,,,
