raw_value,assignment_count,file_count,overlap_file_count,overlap_ratio,canonical_value,reviewed_action,reviewed_facet,tag_surface_policy,confidence,rationale,review_notes
Thanksgivings for National Life,2,2,0,0.00,Thanksgivings for National Life,keep,prayer_type,retain_tag,medium,topical_default,
Thanksgivings for the Church,2,2,0,0.00,Thanksgivings for the Church,keep,prayer_type,retain_tag,medium,topical_default,
Thanksgivings for the Natural Order,2,2,0,0.00,Thanksgivings for the Natural Order,keep,prayer_type,retain_tag,medium,topical_default,
The Baptism of Jesus,2,2,0,0.00,The Baptism of Jesus,keep,topic,retain_tag,medium,topical_default,
"The Missionary Conference, 1894",2,2,1,0.50,"The Missionary Conference, 1894",keep,life_or_church_context,retain_tag,medium,topical_default,
The Splendour of God,2,2,1,0.50,The Splendour of God,keep,topic,retain_tag,medium,topical_default,
Thomas à Kempis,2,2,2,1.00,Thomas à Kempis,move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
William Bellars,2,2,2,1.00,William Bellars,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
1 Peter 5:10–11,1,1,1,1.00,1 Peter 5:10–11,keep,topic,retain_tag,medium,topical_default,
"A Form of Prayer, March 1941",1,1,1,1.00,"A Form of Prayer, March 1941",move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
"A Form of Prayer, October 1939",1,1,1,1.00,"A Form of Prayer, October 1939",move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
A Harvest of Myrrh and Spices (trs. W. H. Draper),1,1,1,1.00,A Harvest of Myrrh and Spices (trs. W. H. Draper),move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
A Prayer of the Eastern Church,1,1,1,1.00,A Prayer of the Eastern Church,move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
A. S. T. Fisher,1,1,1,1.00,A. S. T. Fisher,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
A.C.C.M.,1,1,1,1.00,A.C.C.M.,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Acts of Devotion,1,1,1,1.00,Acts of Devotion,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Adapted from a 16th c. German prayer,1,1,1,1.00,Adapted from a 16th c. German prayer,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
Adapted from A Book of Guide Prayers,1,1,1,1.00,Adapted from A Book of Guide Prayers,move_to_source,source_text,remove_from_tags,high,prefixed_provenance_non_scriptural_source,
Adapted from A Diocesan Service Book,1,1,1,1.00,Adapted from A Diocesan Service Book,move_to_source,source_text,remove_from_tags,high,prefixed_provenance_non_scriptural_source,
Adapted from a prayer at the London Hospital,1,1,1,1.00,Adapted from a prayer at the London Hospital,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
Adapted from a prayer for the General Synod in the Irish Prayer Book,1,1,1,1.00,Adapted from a prayer for the General Synod in the Irish Prayer Book,move_to_source,source_text,remove_from_tags,high,prefixed_provenance_non_scriptural_source,
Adapted from a prayer of A. E. Daldy,1,1,1,1.00,Adapted from a prayer of A. E. Daldy,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
Adapted from a prayer of S.P.C.K.,1,1,1,1.00,Adapted from a prayer of S.P.C.K.,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
Adapted from a prayer of St. Thomas Aquinas,1,1,1,1.00,Adapted from a prayer of St. Thomas Aquinas,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
Adapted from an ancient collect,1,1,1,1.00,Adapted from an ancient collect,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
Adapted from Book of Common Order,1,1,1,1.00,Adapted from Book of Common Order,move_to_source,source_text,remove_from_tags,high,prefixed_provenance_non_scriptural_source,
Adapted from Didache,1,1,1,1.00,Adapted from Didache,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
Adapted from George Appleton,1,1,1,1.00,Adapted from George Appleton,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
Adapted from John Donne,1,1,1,1.00,Adapted from John Donne,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
Adapted from Lancelot Andrewes (Daily Prayer),1,1,1,1.00,Adapted from Lancelot Andrewes (Daily Prayer),move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
Adapted from Liturgy of St. James,1,1,1,1.00,Adapted from Liturgy of St. James,move_to_source,source_text,remove_from_tags,high,prefixed_provenance_non_scriptural_source,
Adapted from Micah 6:8,1,1,1,1.00,Adapted from Micah 6:8,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Adapted from Mozarabic Sacramentary,1,1,1,1.00,Adapted from Mozarabic Sacramentary,move_to_source,source_text,remove_from_tags,high,prefixed_provenance_non_scriptural_source,
Adapted from Prayers for the Christian Year,1,1,1,1.00,Adapted from Prayers for the Christian Year,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
Adapted from Roman Breviary,1,1,1,1.00,Adapted from Roman Breviary,move_to_source,source_text,remove_from_tags,high,prefixed_provenance_non_scriptural_source,
Adapted from Sarum Missal,1,1,1,1.00,Adapted from Sarum Missal,move_to_source,source_text,remove_from_tags,high,prefixed_provenance_non_scriptural_source,
Adapted from Sarum Primer,1,1,1,1.00,Adapted from Sarum Primer,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
Adapted from Scottish Prayer Book,1,1,1,1.00,Adapted from Scottish Prayer Book,move_to_source,source_text,remove_from_tags,high,prefixed_provenance_non_scriptural_source,
Adapted from St. Nerses of Clajes,1,1,1,1.00,Adapted from St. Nerses of Clajes,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
Adapted from Student Prayer,1,1,1,1.00,Adapted from Student Prayer,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
Adapted from Thomas Arnold,1,1,1,1.00,Adapted from Thomas Arnold,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
After A. J. Mason,1,1,1,1.00,After A. J. Mason,move_to_attribution,attribution_author,remove_from_tags,high,after_prefix_author_attribution,
After Christina Rossetti,1,1,1,1.00,After Christina Rossetti,move_to_attribution,attribution_author,remove_from_tags,high,after_prefix_author_attribution,
