raw_value,assignment_count,file_count,overlap_file_count,overlap_ratio,canonical_value,reviewed_action,reviewed_facet,tag_surface_policy,confidence,rationale,review_notes
Anselm of Canterbury,1,1,1,1.00,Anselm of Canterbury,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Armenian Liturgy,1,1,0,0.00,Armenian Liturgy,keep,topic,retain_tag,medium,topical_default,
"Armistice Day Prayers, 1931",1,1,0,0.00,"Armistice Day Prayers, 1931",keep,prayer_type,retain_tag,medium,topical_default,
Artists’ Prayer Guild,1,1,0,0.00,Artists’ Prayer Guild,keep,prayer_type,retain_tag,medium,topical_default,
"Austrian Church Order, 1571",1,1,1,1.00,"Austrian Church Order, 1571",move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
Based on 1 Peter 1:3–5,1,1,1,1.00,Based on 1 Peter 1:3–5,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on 1 Peter 4:10–11,1,1,1,1.00,Based on 1 Peter 4:10–11,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on 2 Corinthians 4:6,1,1,1,1.00,Based on 2 Corinthians 4:6,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
"Based on 2 John 3:23, 24",1,1,1,1.00,"Based on 2 John 3:23, 24",move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on 2 Timothy 3:5–17,1,1,1,1.00,Based on 2 Timothy 3:5–17,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on a 16th century prayer,1,1,1,1.00,Based on a 16th century prayer,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
"Based on a prayer of the Pan-Anglican Congress, 1908",1,1,1,1.00,"Based on a prayer of the Pan-Anglican Congress, 1908",move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
Based on a sixteenth century prayer,1,1,1,1.00,Based on a sixteenth century prayer,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
Based on Colossians 1:10–12,1,1,1,1.00,Based on Colossians 1:10–12,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on Colossians 3:1–4,1,1,1,1.00,Based on Colossians 3:1–4,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on Confirmation Service,1,1,1,1.00,Based on Confirmation Service,move_to_source,source_text,remove_from_tags,high,prefixed_provenance_non_scriptural_source,
