value,overlap_file_count,tag_assignment_count,attribution_assignment_count,section_count,sections
Based on Thomas Ken,1,1,1,1,parish-year
Benedict of Nursia,1,1,1,1,acna2019
Bible Reading Fellowship,1,1,1,1,parish-supplementary
"Book of Hours, 1864",1,1,1,1,parish-devotional
"Book of Offices, Methodist Church",1,1,1,1,parish-year
Book of Prayers for Students,1,2,1,1,parish-intercessory
Book of Public Worship,1,1,1,1,parish-occasions
British Hospital for Mothers and Babies,1,1,1,1,parish-sacraments
Brompton Parish Church,1,1,1,1,parish-sacraments
C. M. Blagden,1,1,1,1,parish-intercessory
C. S. Woodward,1,1,1,1,parish-occasions
C.I.P.B.C. Prayer Book,1,1,1,1,parish-year
Central Board of Finance,1,1,1,1,parish-occasions
Charles F. d’Arcy,1,1,1,1,parish-intercessory
Charles Gore,1,1,1,1,parish-intercessory
Christian von Bunsen,1,2,1,2,parish-devotional;parish-year
Church Army,1,1,1,1,parish-intercessory
Church’s Ministry among the Jews,1,1,1,1,parish-intercessory
Clement of Alexandria,1,1,1,1,potec
Collect of Easter Even,1,1,1,1,parish-sacraments
Community of the Resurrection,1,1,1,1,parish-intercessory
Coptic Liturgy of St. Cyril,1,2,1,2,parish-devotional;potec
Daybreak Office of the Eastern Church,1,1,1,1,parish-devotional
Diocese of Rochester,1,1,1,1,parish-intercessory
Diocese of Southwark,1,2,1,2,parish-sacraments;parish-year
Diocese of Uganda,1,1,1,1,parish-intercessory
Douglas Crick,1,1,1,1,parish-intercessory
Edward Hawkins,1,1,1,1,parish-year
Emil E. Fischer,1,1,1,1,parish-year
Ephesians 3:14–19,1,1,1,1,parish-year
"Ephesians 3:20, 21",1,1,1,1,parish-devotional
Erasmus,1,3,1,3,parish-devotional;parish-sacraments;parish-year
Eric Fenn,1,1,1,1,parish-devotional
Eugene Bersier,1,2,1,2,parish-devotional;parish-intercessory
F. D. Maurice,1,1,1,1,parish-intercessory
Fellowship Litanies,1,1,1,1,parish-year
Fielding Ould,1,1,1,1,parish-occasions
Fifth century,1,1,1,1,parish-occasions
"Form of National Prayer, 1942",1,1,1,1,parish-intercessory
"Form of National Prayer, May 1940",1,1,1,1,parish-intercessory
Francis Xavier,1,1,1,1,acna2019
Franciscan Breviary,1,1,1,1,parish-intercessory
Frank Edward Brightman,1,1,1,1,parish-occasions
From an ancient prayer,1,1,1,1,parish-intercessory
From Book of Common Prayer,1,1,1,1,parish-year
From Primer of 1555,1,1,1,1,parish-devotional
From the Gothic,1,1,1,1,parish-devotional
From the Litany,1,1,1,1,parish-year
From the Liturgy of Malabar,1,1,1,1,parish-sacraments
From the Order of Compline,1,1,1,1,parish-occasions
G. C. Binyon,1,2,1,1,parish-intercessory
G. E. L. Cotton,1,1,1,1,parish-year
Geneva Bible,1,1,1,1,parish-year
Geoffrey F. Fisher,1,1,1,1,parish-intercessory
George Adam Smith,1,1,1,1,parish-year
George H. Russell,1,3,1,1,parish-intercessory
George Hickes,1,1,1,1,parish-devotional
George Timms (after C. J. Vaughan),1,1,1,1,parish-year
Gladys E. Bretherton,1,1,1,1,parish-intercessory
