raw_value,assignment_count,file_count,canonical_value,action,notes
"Austrian Church Order, 1571",1,1,"Austrian Church Order, 1571",keep,
Based on 1 Peter 1:3–5,1,1,Based on 1 Peter 1:3–5,keep,
Based on 1 Peter 4:10–11,1,1,Based on 1 Peter 4:10–11,keep,
Based on 2 Corinthians 4:6,1,1,Based on 2 Corinthians 4:6,keep,
"Based on 2 John 3:23, 24",1,1,"Based on 2 John 3:23, 24",keep,
Based on 2 Timothy 3:5–17,1,1,Based on 2 Timothy 3:5–17,keep,
Based on a 16th century prayer,1,1,Based on a 16th century prayer,keep,
"Based on a prayer of the Pan-Anglican Congress, 1908",1,1,"Based on a prayer of the Pan-Anglican Congress, 1908",keep,
Based on a sixteenth century prayer,1,1,Based on a sixteenth century prayer,keep,
Based on Colossians 1:10–12,1,1,Based on Colossians 1:10–12,keep,
Based on Colossians 3:1–4,1,1,Based on Colossians 3:1–4,keep,
Based on Confirmation Service,1,1,Based on Confirmation Service,keep,
Based on Ephesians 1:17–21,1,1,Based on Ephesians 1:17–21,keep,
Based on Ephesians 4:11–13,1,1,Based on Ephesians 4:11–13,keep,
Based on Ephesians 4:30–32,1,1,Based on Ephesians 4:30–32,keep,
Based on Ephesians 4:4–6,1,1,Based on Ephesians 4:4–6,keep,
Based on Ephesians 6:11–17,1,1,Based on Ephesians 6:11–17,keep,
"Based on Galatians 5:22, 23",1,1,"Based on Galatians 5:22, 23",keep,
Based on Hebrews 10:19–24,1,1,Based on Hebrews 10:19–24,keep,
"Based on Hebrews 13:20, 21",1,1,"Based on Hebrews 13:20, 21",keep,
Based on John 4:23; Isaiah 29:13; Psalm 103.,1,1,Based on John 4:23; Isaiah 29:13; Psalm 103.,keep,
Based on Luke 8:15,1,1,Based on Luke 8:15,keep,
Based on Numbers 6:24–26,1,1,Based on Numbers 6:24–26,keep,
Based on Philippians 1:9–11,1,1,Based on Philippians 1:9–11,keep,
Based on Philippians 2:8–11,1,1,Based on Philippians 2:8–11,keep,
Based on Philippians 2:9–11,1,1,Based on Philippians 2:9–11,keep,
Based on Philippians 4:4–7,1,1,Based on Philippians 4:4–7,keep,
"Based on Psalm 119. 105, 18, 162",1,1,"Based on Psalm 119. 105, 18, 162",keep,
Based on Psalm 23:1–3,1,1,Based on Psalm 23:1–3,keep,
Based on Romans 12:19–21,1,1,Based on Romans 12:19–21,keep,
Based on Romans 12:6–10.,1,1,Based on Romans 12:6–10.,keep,
"Based on Romans 13. 11, 12,* 1 Thessalonians 5:8",1,1,"Based on Romans 13. 11, 12,* 1 Thessalonians 5:8",keep,
Based on Romans 15:13,1,1,Based on Romans 15:13,keep,
