raw_tag,assignment_count,current_action,current_facet,extreme_action,extreme_tag,reason,confidence
Nineteenth Sunday After Trinity,6,keep,topic,drop,,not_in_extreme_canonical_set,medium
Prayer for Mission,6,keep,prayer_type,keep,Prayer for Mission,canonical_exact,high
Salisbury Book of Occasional Offices,6,keep,topic,drop,,not_in_extreme_canonical_set,medium
Second Sunday After Easter,6,keep,topic,map,Easter,seasonal_rule,high
Sunday Called Sexagesima,6,keep,topic,drop,,not_in_extreme_canonical_set,medium
Sunday Next Before Advent (Trinity Xxv),6,keep,topic,map,Advent,seasonal_rule,high
Tenth Sunday After Trinity,6,keep,topic,drop,,not_in_extreme_canonical_set,medium
Third Sunday After Trinity,6,keep,topic,drop,,not_in_extreme_canonical_set,medium
A Book of Prayers for Students,5,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Charles Chapman Grafton,5,keep,topic,drop,,not_in_extreme_canonical_set,medium
Easter Even,5,keep,topic,map,Easter,seasonal_rule,high
Eighteenth Sunday After Trinity,5,keep,topic,drop,,not_in_extreme_canonical_set,medium
Eighth Sunday After Trinity,5,keep,topic,drop,,not_in_extreme_canonical_set,medium
Fifth Sunday After Epiphany,5,keep,topic,map,Epiphany,seasonal_rule,high
Fourth Sunday After Trinity,5,keep,topic,drop,,not_in_extreme_canonical_set,medium
Fourth Sunday in Lent: Mothering Sunday,5,keep,topic,map,Lent,seasonal_rule,high
General Intercessions,5,keep,topic,drop,,not_in_extreme_canonical_set,medium
Harold Anson,5,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Harold Riley,5,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Jeremy Taylor,5,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
John Cosin,5,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Lutheran Church,5,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Monday Before Easter,5,keep,topic,map,Easter,seasonal_rule,high
Ninth Sunday After Trinity,5,keep,topic,drop,,not_in_extreme_canonical_set,medium
Prayers of the World-Wide Church,5,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Prayers Which May Be Used at the Burial of One Who Has Taken His Own Life,5,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
R. M. Benson,5,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Richard D. Acland,5,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Rites of Healing (Prayers for Use by a Sick Person),5,keep,prayer_type,keep,Rites of Healing (Prayers for Use by a Sick Person),canonical_exact,high
Ruby E. Cleeve,5,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Second Sunday in Lent,5,keep,topic,map,Lent,seasonal_rule,high
Seventeenth Sunday After Trinity,5,keep,topic,drop,,not_in_extreme_canonical_set,medium
Sixteenth Sunday After Trinity,5,keep,topic,drop,,not_in_extreme_canonical_set,medium
Sixth Sunday After Epiphany,5,keep,topic,map,Epiphany,seasonal_rule,high
Sunday After Christmas,5,keep,topic,map,Christmas,seasonal_rule,high
The Spirit of Service,5,keep,topic,drop,,not_in_extreme_canonical_set,medium
Third Sunday After Epiphany,5,keep,topic,map,Epiphany,seasonal_rule,high
Third Sunday in Advent,5,keep,topic,map,Advent,seasonal_rule,high
Third Sunday in Lent,5,keep,topic,map,Lent,seasonal_rule,high
Thomas Ken,5,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Twentieth Sunday After Trinity,5,keep,topic,drop,,not_in_extreme_canonical_set,medium
Twenty-Second Sunday After Trinity,5,keep,topic,drop,,not_in_extreme_canonical_set,medium
Vesting Prayers,5,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
W. Walsham How,5,keep,topic,drop,,not_in_extreme_canonical_set,medium
"A Form of Prayer, May 1940",4,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
A. McCheane,4,keep,topic,drop,,not_in_extreme_canonical_set,medium
Clement of Rome,4,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Country Services,4,keep,topic,drop,,not_in_extreme_canonical_set,medium
E. W. Benson,4,keep,topic,drop,,not_in_extreme_canonical_set,medium
Ember Days,4,keep,topic,map,Other Feasts,seasonal_rule,high
Fifth Sunday After Trinity,4,keep,topic,drop,,not_in_extreme_canonical_set,medium
Fourth Sunday After Easter,4,keep,topic,map,Easter,seasonal_rule,high
Guild of St. Raphael,4,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
J. Armitage Robinson,4,keep,topic,drop,,not_in_extreme_canonical_set,medium
John Donne,4,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
John Wesley’s Prayers,4,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Mothers’ Union,4,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
National Days,4,keep,topic,drop,,not_in_extreme_canonical_set,medium
Percy Dearmer,4,keep,topic,drop,,not_in_extreme_canonical_set,medium
Rogation Days,4,keep,topic,map,Other Feasts,seasonal_rule,high
Second Sunday After Trinity,4,keep,topic,drop,,not_in_extreme_canonical_set,medium
Sixth Sunday After Trinity,4,keep,topic,drop,,not_in_extreme_canonical_set,medium
The Christmas Crib,4,keep,topic,map,Christmas,seasonal_rule,high
